Genus,Species,Family,Order
lyskonoh,úzkozobý,slukovití,bahňáci
ostralka,štíhlá,kachnovití,vrubozobí
potápka,rudokrká,potápkovití,potápky
potápka,žlutorohá,potápkovití,potápky
bělořit,okrový,lejskovití,pěvci
budníček,menší,Sylvioidea,Passerida
ibis,hnědý,ibisovití,brodiví a pelikáni
sedmihlásek,šedý,Sylvioidea,Passerida
rákosník,zpěvný,Sylvioidea,Passerida
budníček,zelený,Sylvioidea,Passerida
kulík,říční,kulíkovití,dlouhokřídlí
kos,horský,drozdovití,pěvci
potáplice,severní,potáplicovití,potáplice
kulík,hnědý,kulíkovití,bahňáci
chaluha,příživná,chaluhovití,racci
kormorán,velký,kormoránovití,terejové
polák,kaholka,kachnovití,vrubozobí
pěnice,malá,pěnicovití,pěvci
krutihlav,obecný,datlovití,šplhavci
chřástal,polní,chřástalovití,krátkokřídlí
racek,žlutonohý,rackovití,dlouhokřídlí
turpan,hnědý,kachnovití,vrubozobí
vodouš,tmavý,slukovití,dlouhokřídlí
potápka,malá,potápkovití,potápky
žluna,zelená,datlovití,šplhavci
morčák,prostřední,kachnovití,vrubozobí
racek,polární,rackovití,dlouhokřídlí
berneška,rudokrká,kachnovití,vrubozobí
bělořit,pouštní,lejskovití,pěvci
strnad,bělohlavý,strnadovití,pěvci
chřástal,nejmenší,chřástalovití,krátkokřídlí
vlaštovka,červenavá,,
husa,tundrová,kachnovití,vrubozobí
havran,polní,,
křivka,bělokřídlá,pěnkavovití,pěvci
husa,polní,kachnovití,vrubozobí
chaluha,pomořská,,
pisík,obecný,slukovití,dlouhokřídlí
budníček,západní,,
jespák,dlouhokřídlý,slukovití,dlouhokřídlí
brkoslav,severní,brkoslavovití,pěvci
skřivan,lesní,skřivanovití,pěvci
hrdlička,divoká,holubovití,měkkozobí
jespák,písečný,slukovití,dlouhokřídlí
jespák,rezavý,slukovití,dlouhokřídlí
čáp,černý,čápovití,čápi
sova,pálená,sovovití,sovy
vodouš,malý,slukovití,bahňáci
výr,velký,puštíkovití,sovy
zrzohlávka,rudozobá,kachnovití,vrubozobí
potápka,roháč,potápkovití,potápky
modruška,tajgová,lejskovití,pěvci
jespák,křivozobý,slukovití,dlouhokřídlí
rybák,velkozobý,rackovití,dlouhokřídlí
rybák,malý,rackovití,dlouhokřídlí
rybák,bělokřídlý,rackovití,dlouhokřídlí
kachna,divoká,kachnovití,vrubozobí
buřňáček,malý,buřňáčkovití,trubkonosí
břehule,skalní,vlaštovkovití,pěvci
keptuška,běloocasá,kulíkovití,dlouhokřídlí
labuť,malá,kachnovití,vrubozobí
kulík,bledý,kulíkovití,bahňáci
jespák,rudokrký,slukovití,dlouhokřídlí
rybák,černozobý,rackovití,dlouhokřídlí
jespák,mořský,slukovití,dlouhokřídlí
jespák,tundrový,slukovití,dlouhokřídlí
čírka,obecná,kachnovití,vrubozobí
racek,velký,rackovití,dlouhokřídlí
kajka,královská,kachnovití,vrubozobí
racek,kroužkozobý,,
bramborníček,hnědý,lejskovití,pěvci
ťuhýk,menší,ťuhýkovití,pěvci
sup,mrchožravý,jestřábovití,dravci
racek,zelenonohý,,
kavka,obecná,krkavcovití,pěvci
dytík,úhorní,dytíkovití,dlouhokřídlí
čejka,trnitá,kulíkovití,dlouhokřídlí
